time,open,high,low,close,volume
2025-04-10T10:00:00Z,82016.83,82115.04,81522.17,81722.39,0.0
2025-04-10T11:00:00Z,81722.4,81897.05,81455.61,81829.71,0.0
2025-04-10T12:00:00Z,81829.71,82398.91,81409.0,81672.02,0.0
2025-04-10T13:00:00Z,81673.27,81912.56,80722.0,80812.99,0.0
2025-04-10T14:00:00Z,80815.24,81776.61,80555.52,81218.13,0.0
2025-04-10T15:00:00Z,81215.26,81297.99,78548.52,78692.32,0.0
2025-04-10T16:00:00Z,78692.21,79646.73,78387.24,79399.95,0.0
2025-04-10T17:00:00Z,79399.94,79638.08,78536.69,79269.04,0.0
2025-04-10T18:00:00Z,79274.0,79840.0,79156.42,79434.58,0.0
2025-04-10T19:00:00Z,79435.0,79982.9,79233.47,79574.75,0.0
2025-04-10T20:00:00Z,79589.33,79900.0,79510.0,79874.59,0.0
2025-04-10T21:00:00Z,79884.84,79989.63,79626.86,79666.55,0.0
2025-04-10T22:00:00Z,79666.55,79872.41,79494.86,79650.85,0.0
2025-04-10T23:00:00Z,79650.86,79703.51,79338.09,79552.34,0.0
2025-04-11T00:00:00Z,79552.34,79713.5,78919.94,78988.75,0.0
2025-04-11T01:00:00Z,78988.75,80408.11,78955.52,80401.26,0.0
2025-04-11T02:00:00Z,80405.56,80796.19,80106.62,80254.21,0.0
2025-04-11T03:00:00Z,80254.2,80868.22,80245.7,80801.48,0.0
2025-04-11T04:00:00Z,80801.48,81060.99,80676.45,80842.85,0.0
2025-04-11T05:00:00Z,80840.66,80870.76,80462.64,80774.42,0.0
2025-04-11T06:00:00Z,80774.43,81268.16,80774.43,81056.21,0.0
2025-04-11T07:00:00Z,81057.09,81396.94,80796.09,81224.99,0.0
2025-04-11T08:00:00Z,81220.81,81864.91,80745.05,81582.47,0.0
2025-04-11T09:00:00Z,81576.25,82400.0,81393.62,82400.0,0.0
2025-04-11T10:00:00Z,82399.99,82956.11,82258.57,82672.79,0.0
2025-04-11T11:00:00Z,82672.85,82867.94,81966.78,82085.93,0.0
2025-04-11T12:00:00Z,82083.11,82570.65,81781.8,82086.91,0.0
2025-04-11T13:00:00Z,82085.06,83304.39,81777.94,82909.2,0.0
2025-04-11T14:00:00Z,82882.1,82882.1,81284.8,81848.71,0.0
2025-04-11T15:00:00Z,81851.41,82670.02,81659.1,82481.53,0.0
2025-04-11T16:00:00Z,82481.54,82994.59,81966.33,82762.36,0.0
2025-04-11T17:00:00Z,82753.24,84027.99,82657.75,83915.19,0.0
2025-04-11T18:00:00Z,83906.76,84187.99,83482.88,83584.82,0.0
2025-04-11T19:00:00Z,83584.82,83951.63,83533.95,83835.8,0.0
2025-04-11T20:00:00Z,83828.38,84000.0,83680.02,83823.94,0.0
2025-04-11T21:00:00Z,83817.94,84299.0,83597.71,83630.77,0.0
2025-04-11T22:00:00Z,83630.76,83676.57,83261.97,83373.91,0.0
