price,profile
153.42053571428573,0.0
153.45960714285715,0.0
153.49867857142857,0.0
153.53775000000002,0.0
153.57682142857144,0.0
153.61589285714285,0.0
153.6549642857143,1.0
153.69403571428575,0.0
153.73310714285714,0.0
153.77217857142858,0.0
153.81125000000003,0.0
153.85032142857142,4.0
153.88939285714287,0.0
153.9284642857143,1.0
153.9675357142857,6.0
154.00660714285715,3.0
154.0456785714286,5.0
154.08474999999999,8.0
154.12382142857143,2.0
154.16289285714288,2.0
154.20196428571427,5.0
154.24103571428572,1.0
154.28010714285716,4.0
154.31917857142858,1.0
154.35825,1.0
154.39732142857144,1.0
154.43639285714286,0.0
154.47546428571428,0.0
