price,profile
0.7987736265909091,0.0
0.7991608997727273,1.0
0.7995481729545455,2.0
0.7999354461363637,3.0
0.8003227193181819,2.0
0.8007099925000001,0.0
0.8010972656818182,0.0
0.8014845388636364,0.0
0.8018718120454545,2.0
0.8022590852272727,0.0
0.8026463584090909,1.0
0.8030336315909091,0.0
0.8034209047727273,1.0
0.8038081779545455,1.0
0.8041954511363637,2.0
0.8045827243181819,6.0
0.8049699975,5.0
0.8053572706818182,4.0
0.8057445438636364,6.0
0.8061318170454546,5.0
0.8065190902272728,4.0
0.8069063634090909,0.0
